Breakdown of holdings under the ABSPP*,,,,,
End of Month,Primary market holdings ,Share PM,Secondary market holdings,Share SM,Total holdings
01/11/2014,183,49.73%,185,50.27%,368
01/12/2014,183,10.49%,"1,561",89.51%,"1,744"
01/01/2015,181,7.78%,"2,145",92.22%,"2,326"
01/02/2015,181,5.23%,"3,282",94.77%,"3,463"
01/03/2015,751,16.25%,"3,871",83.75%,"4,622"
01/04/2015,"1,150",19.88%,"4,635",80.12%,"5,785"
01/05/2015,"1,552",21.54%,"5,653",78.46%,"7,205"
01/06/2015,"2,166",24.62%,"6,630",75.38%,"8,796"
01/07/2015,"2,285",23.46%,"7,454",76.54%,"9,739"
01/08/2015,"2,965",26.74%,"8,122",73.26%,"11,087"
01/09/2015,"3,559",27.35%,"9,456",72.65%,"13,015"
01/10/2015,"4,050",27.78%,"10,527",72.22%,"14,577"
01/11/2015,"4,377",28.84%,"10,801",71.16%,"15,178"
01/12/2015,"4,465",29.14%,"10,857",70.86%,"15,322"
01/01/2016,"5,301",30.15%,"12,281",69.85%,"17,582"
01/02/2016,"5,244",28.24%,"13,327",71.76%,"18,571"
01/03/2016,"5,272",27.76%,"13,719",72.24%,"18,991"
01/04/2016,"5,195",27.38%,"13,780",72.62%,"18,975"
01/05/2016,"5,429",28.49%,"13,630",71.51%,"19,059"
01/06/2016,"5,638",28.79%,"13,947",71.21%,"19,585"
01/07/2016,"5,768",28.32%,"14,600",71.68%,"20,368"
01/08/2016,"5,664",28.12%,"14,478",71.88%,"20,142"
01/09/2016,"6,181",29.90%,"14,491",70.10%,"20,672"
01/10/2016,"6,944",32.66%,"14,317",67.34%,"21,261"
01/11/2016,"7,667",34.05%,"14,847",65.95%,"22,514"
01/12/2016,"7,553",33.08%,"15,277",66.92%,"22,830"
01/01/2017,"8,051",34.48%,"15,301",65.52%,"23,352"
01/02/2017,"8,186",34.88%,"15,285",65.12%,"23,471"
01/03/2017,"8,189",33.85%,"16,001",66.15%,"24,190"
01/04/2017,"8,149",34.34%,"15,582",65.66%,"23,731"
01/05/2017,"8,169",34.54%,"15,484",65.46%,"23,653"
01/06/2017,"8,784",36.40%,"15,351",63.60%,"24,135"
01/07/2017,"8,637",35.09%,"15,979",64.91%,"24,616"
01/08/2017,"8,503",34.81%,"15,921",65.19%,"24,424"
01/09/2017,"8,437",35.04%,"15,639",64.96%,"24,076"
01/10/2017,"9,308",37.71%,"15,374",62.29%,"24,682"
01/11/2017,"9,853",38.83%,"15,520",61.17%,"25,373"
01/12/2017,"9,589",38.33%,"15,426",61.67%,"25,015"
01/01/2018,"10,084",39.85%,"15,219",60.15%,"25,303"
01/02/2018,"10,036",39.85%,"15,150",60.15%,"25,186"
01/03/2018,"10,217",39.31%,"15,777",60.69%,"25,994"
01/04/2018,"11,243",41.61%,"15,776",58.39%,"27,019"
01/05/2018,"11,434",41.75%,"15,952",58.25%,"27,386"
01/06/2018,"11,344",41.33%,"16,105",58.67%,"27,449"
01/07/2018,"11,417",41.15%,"16,329",58.85%,"27,746"
01/08/2018,"11,191",41.07%,"16,055",58.93%,"27,246"
01/09/2018,"11,151",41.41%,"15,778",58.59%,"26,929"
01/10/2018,"11,234",41.55%,"15,801",58.45%,"27,035"
01/11/2018,"11,810",42.52%,"15,965",57.48%,"27,775"
01/12/2018,"11,877",43.17%,"15,634",56.83%,"27,511"
01/01/2019,"11,615",43.57%,"15,041",56.43%,"26,656"
01/02/2019,"11,376",43.52%,"14,761",56.48%,"26,137"
01/03/2019,"11,067",43.25%,"14,519",56.75%,"25,586"
01/04/2019,"11,505",44.05%,"14,613",55.95%,"26,118"
01/05/2019,"11,612",44.20%,"14,661",55.80%,"26,273"
01/06/2019,"11,532",44.86%,"14,175",55.14%,"25,707"
01/07/2019,"11,901",45.74%,"14,120",54.26%,"26,021"
01/08/2019,"11,899",46.10%,"13,914",53.90%,"25,813"
01/09/2019,"11,945",46.36%,"13,820",53.64%,"25,765"
01/10/2019,"12,406",46.08%,"14,519",53.92%,"26,925"
01/11/2019,"13,187",46.80%,"14,991",53.20%,"28,178"
01/12/2019,"13,335",46.95%,"15,068",53.05%,"28,403"
01/01/2020,"13,294",47.35%,"14,780",52.65%,"28,074"
01/02/2020,"13,231",46.76%,"15,065",53.24%,"28,296"
01/03/2020,"13,456",43.11%,"17,756",56.89%,"31,212"
01/04/2020,"12,967",41.98%,"17,919",58.02%,"30,886"
01/05/2020,"12,981",42.05%,"17,891",57.95%,"30,872"
01/06/2020,"12,861",42.02%,"17,749",57.98%,"30,610"
01/07/2020,"12,514",41.62%,"17,555",58.38%,"30,069"
01/08/2020,"12,361",41.84%,"17,181",58.16%,"29,542"
01/09/2020,"12,240",42.04%,"16,872",57.96%,"29,112"
01/10/2020,"12,740",43.43%,"16,597",56.57%,"29,337"
01/11/2020,"13,827",45.84%,"16,334",54.16%,"30,161"
01/12/2020,"13,515",46.04%,"15,837",53.96%,"29,352"
01/01/2021,"12,817",44.90%,"15,728",55.10%,"28,545"
01/02/2021,"13,002",45.26%,"15,726",54.74%,"28,728"
01/03/2021,"12,987",45.24%,"15,722",54.76%,"28,709"
01/04/2021,"12,991",45.69%,"15,441",54.31%,"28,432"
01/05/2021,"12,887",45.19%,"15,633",54.81%,"28,520"
01/06/2021,"13,048",46.29%,"15,142",53.71%,"28,190"
01/07/2021,"13,005",45.90%,"15,326",54.10%,"28,331"
01/08/2021,"12,188",45.85%,"14,394",54.15%,"26,582"
01/09/2021,"11,947",45.93%,"14,066",54.07%,"26,013"
01/10/2021,"13,210",48.03%,"14,292",51.97%,"27,502"
01/11/2021,"14,298",49.72%,"14,459",50.28%,"28,757"
01/12/2021,"14,261",50.21%,"14,142",49.79%,"28,403"
01/01/2022,"13,281",49.67%,"13,459",50.33%,"26,740"
01/02/2022,"13,280",49.75%,"13,416",50.25%,"26,696"
01/03/2022,"13,533",50.16%,"13,446",49.84%,"26,979"
01/04/2022,"13,417",50.43%,"13,186",49.57%,"26,603"
01/05/2022,"13,062",50.67%,"12,717",49.33%,"25,779"
01/06/2022,"13,183",52.03%,"12,154",47.97%,"25,337"
01/07/2022,"12,709",51.63%,"11,907",48.37%,"24,616"
01/08/2022,"12,480",51.72%,"11,651",48.28%,"24,131"
01/09/2022,"12,281",52.05%,"11,313",47.95%,"23,594"
01/10/2022,"12,486",52.37%,"11,358",47.63%,"23,844"
01/11/2022,"12,540",52.64%,"11,282",47.36%,"23,822"
01/12/2022,"12,137",53.01%,"10,758",46.99%,"22,895"
01/01/2023,"11,185",53.70%,"9,644",46.30%,"20,829"
01/02/2023,"10,851",53.75%,"9,338",46.25%,"20,189"
01/03/2023,"10,487",53.88%,"8,977",46.12%,"19,464"
01/04/2023,"9,888",53.56%,"8,574",46.44%,"18,462"
01/05/2023,"9,635",54.07%,"8,183",45.93%,"17,818"
01/06/2023,"9,333",53.61%,"8,076",46.39%,"17,409"
01/07/2023,"9,059",53.76%,"7,792",46.24%,"16,851"
01/08/2023,"8,836",53.76%,"7,600",46.24%,"16,436"
01/09/2023,"8,172",53.37%,"7,140",46.63%,"15,312"
01/10/2023,"7,699",53.66%,"6,650",46.34%,"14,349"
01/11/2023,"7,413",53.56%,"6,427",46.44%,"13,840"
01/12/2023,"7,160",53.64%,"6,188",46.36%,"13,348"
01/01/2024,"6,916",53.63%,"5,979",46.37%,"12,895"
01/02/2024,"6,710",53.48%,"5,836",46.52%,"12,546"
01/03/2024,"5,749",54.56%,"4,788",45.44%,"10,537"
01/04/2024,"5,548",54.60%,"4,613",45.40%,"10,161"
01/05/2024,"5,266",55.85%,"4,162",44.15%,"9,428"
01/06/2024,"5,019",56.08%,"3,930",43.92%,"8,949"
01/07/2024,"4,848",56.10%,"3,793",43.90%,"8,641"
"*end of month book value at amortised cost, in eur mil. Previous month's figures subject to revision. Figures reported net of redemptions.",,,,,
"**Discontinued update of this historical data, as purchases in ABSPP were halted in July 2023",,,,,

